Seqno,RunId,PreProcessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,AUC(Train),AUC(Traindev),AUC(Val),AUC(Test),Loss(Train),Accuracy(Train),NullAccuracy(Train),Accuracy(Traindev),NullAccuracy(Traindev),Accuracy(Val),NullAccuracy(Val),Accuracy(Test),NullAccuracy(Test),Duration,StartTime,EndTime,Model Location,TFromDate,TToDate,TrainRow#,ValidationFromD,ValidationToD,TestFromD,TestToD,
31,XQLYGV,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8258,0.8117,0.5212,0.5498,0.4775,76.45%,66.97%,76.55%,67.31%,63.81%,69.71%,56.73%,78.59%,1h1'27'',Sun Feb 25 23:51:34 2018,Mon Feb 26 00:53:01 2018,/home/topleaf/stock/savedModel/XQLYGV,2012/09/30,2015/02/28,468514,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
14,0PNWNU,MinMax,Adam,L2,6,84,1,1,0.01,0.99,100,39987,1000,16384,0.854,0.843,0.5361,0.4889,0.4471,79.34%,67.21%,78.25%,66.25%,70.82%,75.57%,54.70%,61.73%,0h58'57'',Mon Jan 29 23:17:16 2018,Tue Jan 30 00:16:14 2018,/home/topleaf/stock/savedModel/0PNWNU,2005/03/01,2010/05/30,,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
17,LZ4IKG,MinMax,Adam,L2,6,74,1,1,0.01,0.99,100,39987,1000,16384,0.8227,0.8125,0.5916,0.5388,0.4805,76.50%,66.44%,76.25%,66.68%,68.92%,69.71%,73.52%,78.59%,1h0'12'',Thu Feb  1 15:43:59 2018,Thu Feb  1 16:44:12 2018,/home/topleaf/stock/savedModel/LZ4IKG,2013/12/31,2016/12/30,578979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
18,PEFZ4C,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8382,0.8295,0.5558,0.5732,0.4451,78.93%,68.26%,78.25%,69.07%,66.72%,69.71%,63.12%,78.59%,0h59'36'',Thu Feb  1 16:44:12 2018,Thu Feb  1 17:43:49 2018,/home/topleaf/stock/savedModel/PEFZ4C,2014/12/31,2017/05/30,474289,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
33,BBAVTA,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,0.8268,0.8207,0.5149,0.5985,0.4614,78.83%,68.76%,78.70%,69.19%,59.81%,69.71%,58.37%,78.59%,1h55'30'',Mon Feb 26 15:34:54 2018,Mon Feb 26 17:30:24 2018,/home/topleaf/stock/savedModel/BBAVTA,2010/12/31,2016/05/30,983506,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
32,OAJS93,MinMax,Adam,L2,6,68,1,1,0.01,0.99,100,39987,1000,16384,0.8311,0.827,0.5381,0.5638,0.4737,77.66%,65.96%,76.84%,65.36%,64.68%,69.71%,57.00%,78.59%,0h54'20'',Mon Feb 26 00:53:01 2018,Mon Feb 26 01:47:22 2018,/home/topleaf/stock/savedModel/OAJS93,2013/03/31,2015/08/31,443536,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
34,SBZN6S,MinMax,Adam,L2,6,124,1,1,0.01,0.99,100,39987,1000,16384,0.8286,0.8251,0.5043,0.5714,0.4576,78.86%,68.76%,78.60%,69.19%,64.85%,69.71%,64.56%,78.59%,2h21'3'',Mon Feb 26 17:30:24 2018,Mon Feb 26 19:51:27 2018,/home/topleaf/stock/savedModel/SBZN6S,2010/12/31,2016/05/30,983506,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
35,EY5F5Y,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8297,0.8281,0.5386,0.5554,0.4646,78.91%,68.76%,79.00%,69.46%,60.81%,69.71%,60.07%,78.59%,2h21'22'',Mon Feb 26 20:12:55 2018,Mon Feb 26 22:34:17 2018,/home/topleaf/stock/savedModel/EY5F5Y,2010/12/31,2016/05/30,983506,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
36,YV4VK4,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,0.8408,0.8236,0.4886,0.5698,0.4585,79.41%,68.31%,78.22%,68.15%,62.82%,69.71%,58.76%,78.59%,2h7'20'',Fri Mar  2 16:23:05 2018,Fri Mar  2 18:30:26 2018,/home/topleaf/stock/savedModel/YV4VK4,2009/9/30,2016/02/28,1092739,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
37,N3SKR9,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,0.8318,0.8055,0.5006,0.5664,0.464,78.34%,67.96%,76.88%,68.33%,56.62%,69.71%,53.84%,78.59%,2h11'27'',Fri Mar  2 18:30:26 2018,Fri Mar  2 20:41:53 2018,/home/topleaf/stock/savedModel/N3SKR9,2009/6/30,2015/11/30,1080181,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
