Seqno,Preprocessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,Skip,TFromDate,TToDate,TestFromD,TestToD,ValidationDays,Comments(rows #),"commentsOnTestResult(TrainAUC,TraindevAUC)"
104,MinMax,Adam,L2,5,50,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,training+traindev110222,
105,MinMax,Adam,L2,6,46,1,1,0.01,0.99,100,39987,1000,65536,y,2005/01/01,2005/12/31,2017/06/01,2017/08/31,90,stable low 1 year vs 3 months,
200,MinMax,Adam,L2,1,165,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,Big bull 2year vs 3 months,
201,MinMax,Adam,L2,2,102,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,,
202,MinMax,Adam,L2,3,83,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,,
203,MinMax,Adam,L2,4,72,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,,
204,MinMax,Adam,L2,5,65,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,,
205,MinMax,Adam,L2,6,60,1,1,0.01,0.99,100,39987,1000,65536,y,2006/01/01,2007/10/17,2017/06/01,2017/08/31,90,Big bull 2year vs 3 months,
300,MinMax,Adam,L2,1,107,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,Big bear  1year vs 3 months,
301,MinMax,Adam,L2,2,75,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,,
302,MinMax,Adam,L2,3,62,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,,
303,MinMax,Adam,L2,4,54,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,,
304,MinMax,Adam,L2,5,49,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,,
305,MinMax,Adam,L2,6,46,1,1,0.01,0.99,100,39987,1000,65536,y,2007/10/18,2008/11/04,2017/06/01,2017/08/31,90,Big bear  1year vs 3 months,
400,MinMax,Adam,L2,1,96,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,bounce up 9months vs 3 months,
401,MinMax,Adam,L2,2,68,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,,
402,Standard,Adam,L2,3,57,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,,
403,Standard,Adam,L2,4,50,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,,
404,MinMax,Adam,L2,5,46,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,,
405,MinMax,Adam,L2,6,42,1,1,0.01,0.99,100,39987,1000,65536,y,2008/11/5,2009/08/04,2017/06/01,2017/08/31,90,bounce up 9months vs 3 months,
500,MinMax,Adam,L2,1,233,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,Fluctate 20 months vs 3 months,
501,MinMax,Adam,L2,2,131,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,,
502,MinMax,Adam,L2,3,104,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,,
503,MinMax,Adam,L2,4,90,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,,
504,MinMax,Adam,L2,5,80,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,,
505,MinMax,Adam,L2,6,73,1,1,0.01,0.99,100,39987,1000,65536,y,2009/08/05,2011/04/18,2017/06/01,2017/08/31,90,Fluctate 20 months vs 3 months,
600,Standard,Adam,L2,1,284,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
601,MinMax,Adam,L2,2,150,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
602,MinMax,Adam,L2,3,118,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
603,Standard,Adam,L2,4,101,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
604,Standard,Adam,L2,5,90,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
605,Standard,Adam,L2,6,82,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
606,Standard,Adam,L2,1,171,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
607,Standard,Adam,L2,2,105,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
608,Standard,Adam,L2,3,85,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
609,MinMax,Adam,L2,4,74,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
610,Standard,Adam,L2,5,66,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
611,Standard,Adam,L2,6,61,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
612,MinMax,Adam,L2,1,853,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
613,MinMax,Adam,L2,2,303,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
614,MinMax,Adam,L2,3,228,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
615,MinMax,Adam,L2,4,192,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
616,Standard,Adam,L2,5,169,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,,
617,Standard,Adam,L2,6,153,1,1,0.01,0.99,100,39987,1000,65536,y,2011/04/19,2012/12/04,2017/06/01,2017/08/31,90,slowbear 20months vs 3 months,
700,MinMax,Adam,L2,1,320,1,1,0.01,0.99,100,39987,1000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,structure 18months vs 3 months,
701,MinMax,Adam,L2,2,162,1,1,0.01,0.99,100,39987,1000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
702,MinMax,Adam,L2,3,127,1,1,0.01,0.99,100,39987,1000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
703,MinMax,Adam,L2,4,108,1,1,0.01,0.99,100,39987,1000,65536,Y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
704,MinMax,Adam,L2,5,96,1,1,0.01,0.99,100,39987,1000,65536,Y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
705,MinMax,Adam,L2,6,88,1,1,0.01,0.99,100,39987,1000,65536,Y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
706,MinMax,Adam,L2,1,192,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
707,Standard,Adam,L2,2,114,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
708,Standard,Adam,L2,3,91,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
709,MinMax,Adam,L2,4,79,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
710,MinMax,Adam,L2,5,71,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
711,Standard,Adam,L2,6,65,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
712,MinMax,Adam,L2,1,959,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
713,Standard,Adam,L2,2,325,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
714,MinMax,Adam,L2,3,244,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
715,MinMax,Adam,L2,4,205,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
716,MinMax,Adam,L2,5,180,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,,
717,MinMax,Adam,L2,6,163,1,1,0.01,0.99,100,39987,2000,65536,y,2012/12/05,2014/06/30,2017/06/01,2017/08/31,90,structure 18months vs 3 months,
800,MinMax,Adam,L2,1,160,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,big bull 11 months vs 3 months,
801,MinMax,Adam,L2,2,100,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
802,Standard,Adam,L2,3,81,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
803,MinMax,Adam,L2,4,71,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
804,MinMax,Adam,L2,5,63,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
805,Standard,Adam,L2,6,58,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
806,Standard,Adam,L2,1,96,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
807,MinMax,Adam,L2,2,68,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
808,MinMax,Adam,L2,3,57,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
809,MinMax,Adam,L2,4,50,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
810,MinMax,Adam,L2,5,46,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
811,MinMax,Adam,L2,6,42,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
812,MinMax,Adam,L2,1,480,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
813,MinMax,Adam,L2,2,212,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
814,MinMax,Adam,L2,3,163,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
815,MinMax,Adam,L2,4,138,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
816,MinMax,Adam,L2,5,122,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,,
817,MinMax,Adam,L2,6,111,1,1,0.01,0.99,100,39987,2000,65536,y,2014/07/01,2015/06/09,2017/06/01,2017/08/31,90,big bull 11 months vs 3 months,
900,MinMax,Adam,L2,1,29,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,Bear  3 months vs 3 months,
901,MinMax,Adam,L2,2,25,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
902,MinMax,Adam,L2,3,23,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
903,MinMax,Adam,L2,4,21,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
904,MinMax,Adam,L2,5,20,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
905,MinMax,Adam,L2,6,18,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
906,MinMax,Adam,L2,1,18,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
907,MinMax,Adam,L2,2,16,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
908,MinMax,Adam,L2,3,15,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
909,MinMax,Adam,L2,4,14,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
910,MinMax,Adam,L2,5,13,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
911,MinMax,Adam,L2,6,13,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
912,MinMax,Adam,L2,1,88,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
913,MinMax,Adam,L2,2,64,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
914,MinMax,Adam,L2,3,54,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
915,MinMax,Adam,L2,4,47,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
916,MinMax,Adam,L2,5,43,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,,
917,MinMax,Adam,L2,6,40,1,1,0.01,0.99,100,39987,2000,65536,y,2015/06/10,2015/08/26,2017/06/01,2017/08/31,90,Bear  3 months vs 3 months,
1000,Standard,Adam,L2,1,65,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,little bounceup 4 months vs 3 months,
1001,MinMax,Adam,L2,2,50,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1002,MinMax,Adam,L2,3,43,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1003,Standard,Adam,L2,4,38,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1004,MinMax,Adam,L2,5,35,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1005,Standard,Adam,L2,6,33,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1006,MinMax,Adam,L2,1,39,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1007,MinMax,Adam,L2,2,33,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1008,MinMax,Adam,L2,3,29,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1009,MinMax,Adam,L2,4,26,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1010,Standard,Adam,L2,5,25,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1011,MinMax,Adam,L2,6,23,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1012,MinMax,Adam,L2,1,195,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1013,Standard,Adam,L2,2,115,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1014,MinMax,Adam,L2,3,92,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1015,MinMax,Adam,L2,4,80,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1016,MinMax,Adam,L2,5,72,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,,
1017,MinMax,Adam,L2,6,66,1,1,0.01,0.99,100,39987,2000,65536,y,2015/08/27,2015/12/23,2017/06/01,2017/08/31,90,little bounceup 4 months vs 3 months,
1100,MinMax,Adam,L2,1,209,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,melt down 12 months vs 3 months,
1101,Standard,Adam,L2,2,121,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1102,MinMax,Adam,L2,3,97,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1103,MinMax,Adam,L2,4,84,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1104,MinMax,Adam,L2,5,75,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1105,MinMax,Adam,L2,6,69,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1106,MinMax,Adam,L2,1,125,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1107,Standard,Adam,L2,2,84,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1108,Standard,Adam,L2,3,69,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1109,MinMax,Adam,L2,4,60,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
